順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
3,DeNA,131,66,62,3,0.516,3,12,492,466,102,27,0.248,3.28,61,2023-09-16 14:10:52.675707
4,巨人,131,64,65,2,0.496,2.5,12,493,483,156,45,0.255,3.53,49,2023-09-16 14:10:52.675707
5,ヤクルト,132,53,76,3,0.411,11,11,491,522,114,59,0.24,3.67,65,2023-09-16 14:10:52.675707
6,中日,130,49,77,4,0.389,2.5,13,348,457,63,32,0.237,3.15,72,2023-09-16 14:10:52.675707
1,阪神,131,81,46,4,0.638,優勝,12,518,384,73,69,0.248,2.62,79,2023-09-17 14:11:07.858629
2,広島,135,71,60,4,0.542,12,8,467,480,90,74,0.247,3.21,75,2023-09-17 14:11:07.858629
3,DeNA,132,67,62,3,0.519,3,11,493,466,103,28,0.248,3.25,61,2023-09-17 14:11:07.858629
4,巨人,132,65,65,2,0.5,2.5,11,496,485,158,46,0.254,3.52,49,2023-09-17 14:11:07.858629
5,ヤクルト,133,53,77,3,0.408,12,10,493,525,115,60,0.239,3.66,65,2023-09-17 14:11:07.858629
6,中日,131,49,78,4,0.386,2.5,12,348,460,63,32,0.236,3.15,72,2023-09-17 14:11:07.858629
1,阪神,132,81,47,4,0.633,優勝,11,520,387,74,70,0.248,2.62,79,2023-09-18 14:13:02.243322
2,広島,136,71,61,4,0.538,12,7,474,488,90,75,0.247,3.25,75,2023-09-18 14:13:02.243322
3,DeNA,133,68,62,3,0.523,2,10,496,468,103,29,0.248,3.23,63,2023-09-18 14:13:02.243322
4,巨人,133,66,65,2,0.504,2.5,10,500,488,159,46,0.254,3.5,50,2023-09-18 14:13:02.243322
5,ヤクルト,134,53,78,3,0.405,13,9,496,529,116,61,0.238,3.66,65,2023-09-18 14:13:02.243322
6,中日,132,50,78,4,0.391,1.5,11,356,467,64,33,0.237,3.12,75,2023-09-18 14:13:02.243322
1,阪神,133,82,47,4,0.636,優勝,10,524,390,74,71,0.248,2.62,79,2023-09-20 14:13:34.342891
2,広島,137,71,62,4,0.534,13,6,475,491,90,75,0.246,3.24,75,2023-09-20 14:13:34.342891
3,DeNA,134,69,62,3,0.527,1,9,499,469,104,29,0.248,3.21,63,2023-09-20 14:13:34.342891
4,巨人,134,66,66,2,0.5,3.5,9,503,492,160,46,0.255,3.5,51,2023-09-20 14:13:34.342891
5,ヤクルト,135,54,78,3,0.409,12,8,502,534,117,61,0.239,3.67,65,2023-09-20 14:13:34.342891
6,中日,133,50,79,4,0.388,2.5,10,361,473,66,33,0.236,3.14,75,2023-09-20 14:13:34.342891
1,阪神,134,82,48,4,0.631,優勝,9,527,395,76,71,0.248,2.64,79,2023-09-21 14:13:08.434541
2,広島,137,71,62,4,0.534,12.5,6,475,491,90,75,0.246,3.24,75,2023-09-21 14:13:08.434541
4,巨人,135,67,66,2,0.504,3,8,508,495,161,46,0.254,3.5,51,2023-09-21 14:13:08.434541
5,ヤクルト,136,54,79,3,0.406,13,7,510,543,119,61,0.24,3.71,65,2023-09-21 14:13:08.434541
6,中日,134,51,79,4,0.392,1.5,9,370,481,67,33,0.237,3.17,76,2023-09-21 14:13:08.434541
1,阪神,135,83,48,4,0.634,優勝,8,536,398,77,73,0.249,2.64,79,2023-09-23 14:10:42.686581
2,広島,138,72,62,4,0.537,12.5,5,482,494,94,75,0.247,3.24,75,2023-09-23 14:10:42.686581
